                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2083,                 1.8777,                0.74569,                 1.0849,                0.56005,                0.76283,                0.58283,                 0.2582,                0.50518,                0.69027,                 0.5021,                0.20733,                 1.9465,                 2.9755,                 1.3093,                 1.5421,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1506,                 1.7526,                0.69964,                 1.0689,                0.55903,                0.71858,                0.57405,                   0.25,                0.50206,                0.69204,                0.49725,                0.20038,                  2.135,                 3.1069,                 1.2205,                 1.6291,               0.000911,               0.000911,               0.000911
                     57,                  1.162,                 1.7644,                0.69816,                 1.0702,                0.53568,                0.72283,                0.56088,                0.23412,                0.49865,                0.65487,                0.47726,                0.18982,                 2.2029,                 3.1217,                 1.1807,                 1.6868,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1596,                 1.7973,                0.67259,                 1.0625,                0.54495,                0.70442,                0.56608,                0.23744,                0.50251,                0.64956,                0.48545,                0.19729,                 2.1508,                 3.0434,                 1.1837,                 1.6692,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1415,                 1.7726,                0.67849,                 1.0515,                0.60891,                0.72474,                 0.6539,                0.28078,                0.54515,                0.71062,                 0.5887,                0.24198,                 2.1088,                 3.1555,                 1.1357,                 1.6166,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.088,                 1.6886,                0.65628,                 1.0421,                0.60779,                0.75976,                 0.6792,                0.29102,                0.58176,                0.73628,                0.61905,                0.25194,                 2.1199,                 3.1643,                 1.0913,                 1.6318,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1422,                 1.8114,                0.67632,                  1.062,                0.59892,                0.79646,                0.66841,                0.28244,                 0.5719,                0.76106,                0.61989,                0.25399,                 2.0755,                 2.9725,                 1.0605,                 1.6455,               0.000812,               0.000812,               0.000812
                     62,                 1.1281,                 1.7444,                 0.6638,                 1.0508,                0.60633,                0.82872,                0.67412,                 0.2916,                0.58126,                0.79469,                0.61893,                0.25448,                 2.0833,                 3.0467,                 1.0614,                 1.6399,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.134,                 1.7724,                0.66707,                 1.0409,                  0.653,                0.77604,                0.68521,                 0.2906,                0.59802,                0.75833,                 0.6203,                0.24914,                 2.2154,                 3.3272,                 1.0889,                    1.7,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1336,                 1.7077,                0.68269,                 1.0629,                0.66275,                0.75929,                 0.6865,                0.29466,                0.62422,                0.71858,                0.62122,                0.25137,                 2.3164,                 3.4476,                 1.1304,                 1.7433,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.098,                 1.7013,                0.66278,                 1.0555,                0.65843,                0.77789,                0.69089,                0.30257,                0.60169,                0.74863,                0.62304,                  0.261,                 2.2613,                 3.1787,                 1.1049,                 1.6791,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1276,                 1.7419,                0.66353,                 1.0345,                0.64701,                0.78584,                0.69315,                0.30668,                0.59504,                0.75752,                0.63243,                0.26762,                  2.164,                 2.9649,                 1.0581,                 1.6149,               0.000713,               0.000713,               0.000713
                     67,                 1.0909,                 1.7004,                0.64868,                  1.037,                0.61406,                0.75752,                0.65801,                0.27292,                0.55701,                0.68496,                0.57499,                0.22664,                 2.2591,                 3.4336,                 1.0357,                 1.7575,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0808,                 1.6819,                0.62345,                 1.0416,                0.60712,                0.73027,                0.64283,                 0.2643,                0.53569,                0.68142,                0.55218,                0.21877,                 2.2679,                 3.5025,                 1.0815,                 1.7831,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0743,                 1.6633,                0.63373,                 1.0358,                0.61029,                0.72389,                0.64769,                0.27358,                0.51624,                0.69558,                0.55789,                0.22598,                 2.1577,                 3.2148,                 1.1193,                 1.6979,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0584,                 1.6742,                 0.6439,                 1.0396,                0.61038,                 0.7115,                0.62753,                0.26607,                0.56195,                0.64956,                0.55394,                0.22447,                 2.1469,                 3.2204,                 1.1907,                 1.6577,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0865,                 1.5703,                 0.6249,                 1.0205,                  0.576,                0.74159,                0.61925,                0.25801,                0.53823,                0.70973,                0.56059,                0.22511,                 2.3026,                 3.5211,                  1.262,                 1.7259,               0.000614,               0.000614,               0.000614
                     72,                 1.0809,                  1.593,                0.61551,                 1.0188,                0.60755,                0.72884,                0.62157,                0.25618,                 0.5695,                0.68319,                0.54902,                0.22428,                 2.3591,                 3.7352,                 1.3304,                 1.7685,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0841,                 1.6266,                0.62911,                 1.0273,                0.60935,                0.71327,                0.61606,                0.25709,                0.56018,                0.67177,                0.54899,                0.22211,                 2.2609,                 3.5434,                 1.4029,                 1.6966,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0934,                 1.6076,                0.63605,                 1.0295,                 0.6159,                0.68397,                0.60977,                0.25943,                0.56331,                0.63928,                0.53834,                 0.2186,                 2.1871,                 3.3836,                 1.4106,                 1.6395,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0769,                 1.5887,                0.62825,                 1.0155,                0.59165,                0.71035,                0.61375,                0.26293,                 0.5432,                0.70265,                 0.5346,                0.22867,                 2.2167,                  3.551,                 1.2369,                 1.6803,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0115,                 1.5112,                0.60229,                  1.006,                0.60339,                0.73628,                0.62313,                0.26653,                0.55814,                0.68142,                 0.5433,                0.23076,                 2.2069,                 3.5463,                 1.1567,                 1.7026,               0.000515,               0.000515,               0.000515
                     77,                 1.0172,                 1.6217,                0.63117,                   1.04,                 0.6005,                0.74756,                0.63495,                 0.2756,                0.54977,                0.70456,                0.55204,                0.23527,                 2.1193,                 3.3563,                 1.0965,                 1.6593,              0.0004952,              0.0004952,              0.0004952
